query,working_ips,broken_ips,working_types,broken_types,working_rcodes,broken_rcodes,note
6-courier.push.apple.com,,,,,,,No difference detected
6.4.2.10.in-addr.arpa,,,,,,,No difference detected
6.courier-push-apple.com.akadns.net,,,,,,,No difference detected
60.0.73.10.in-addr.arpa,,,,,,,No difference detected
60.215.171.35.in-addr.arpa,,,,,,,No difference detected
61.76.67.18.in-addr.arpa,,,,,,,No difference detected
614GPX3.elwyn.org,,,,,,,No difference detected
62ea30a39dede4f6d44ac289591051076c294526.cws.conviva.com,,,,,,,No difference detected
66.134.3.23.in-addr.arpa,,,,,,,No difference detected
66.251.107.52.in-addr.arpa,,,,,,,No difference detected
68.239.69.13.in-addr.arpa,,,,,,,No difference detected
6CBWS93.elwyn.org,,,,,,,No difference detected
6H0NX64.elwyn.org,,,,,,,No difference detected
6de1172a-d143-4cc0-b477-f987a98b467b.ods.opinsights.azure.com,,,,,,,No difference detected
7.173.189.20.in-addr.arpa,,,,,,,No difference detected
7.49.2.10.in-addr.arpa,,,,,,,No difference detected
72.0.75.10.in-addr.arpa,,,,,,,No difference detected
73.178.89.52.in-addr.arpa,,,,,,,No difference detected
75.218.218.23.in-addr.arpa,,,,,,,No difference detected
779Y563.elwyn.org,,,,,,,No difference detected
78.218.218.23.in-addr.arpa,,,,,,,No difference detected
79.1.254.10.in-addr.arpa,,,,,,,No difference detected
79.101.50.10.in-addr.arpa,,,,,,,No difference detected
7GSH663.elwyn.org,,,,,,,No difference detected
7M2BPN2.elwyn.org,,,,,,,No difference detected
82.38.96.52.in-addr.arpa,,,,,,,No difference detected
8BC2Q93.elwyn.org,,,,,,,No difference detected
8DR4853.elwyn.org,,,,,,,No difference detected
9346PW2.elwyn.org,,,,,,,No difference detected
95bc009c-af4a-4b4a-9a97-5435e5b63cc9.ods.opinsights.azure.com,,,,,,,No difference detected
95bc009c-af4a-4b4a-9a97-5435e5b63cc9.oms.opinsights.azure.com,,,,,,,No difference detected
97.220.96.104.in-addr.arpa,,,,,,,No difference detected
99.255.66.18.in-addr.arpa,,,,,,,No difference detected
9H0NX64.elwyn.org,,,,,,,No difference detected
9J0NX64.elwyn.org,,,,,,,No difference detected
